Paesi,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CZECH REPUBLIC,,,,,,,,,20108.0,23808.0,24747.0,25102.0,22625.0,21850.0,23285.0,21941.0,22810.0,25750.0,26332.0,27166.0,29604.0,32519.0,34701.0,36268.0,37202.0,
DENMARK,,,,,,,,,21119.0,22054.0,26927.0,26936.0,27138.0,26870.0,26571.0,26730.0,25811.0,26402.0,26516.0,28070.0,28209.0,28692.0,30736.0,30801.0,33093.0,15595.0
DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMINICA,203.0,261.0,299.0,312.0,280.0,312.0,276.0,208.0,254.0,466.0,381.0,465.0,437.0,468.0,608.0,595.0,418.0,348.0,311.0,370.0,358.0,356.0,230.0,199.0,322.0,140.0
DOMINICAN REPUBLIC,1806.0,2037.0,2482.0,2702.0,2932.0,3161.0,3090.0,3058.0,3680.0,3907.0,3981.0,4268.0,4365.0,4455.0,4489.0,4478.0,4654.0,4901.0,5114.0,5576.0,6129.0,6769.0,7296.0,7551.0,7550.0,2748.0
ECUADOR,440.0,494.0,529.0,511.0,518.0,627.0,641.0,683.0,761.0,819.0,860.0,841.0,937.0,1005.0,968.0,1047.0,1141.0,1272.0,1364.0,1695.0,1676.0,1569.0,1806.0,2535.0,2108.0,507.0
EGYPT,3133.0,3896.0,3961.0,3454.0,4797.0,5506.0,4648.0,5192.0,6044.0,8104.0,8608.0,9083.0,11091.0,12835.0,12536.0,14731.0,9845.0,11532.0,9464.0,9878.0,9328.0,5399.0,8292.0,11346.0,13026.0,3677.0
EL SALVADOR,,,,,,867.0,804.0,885.0,798.0,1030.0,1306.0,1501.0,1720.0,1875.0,1482.0,1606.0,1634.0,1738.0,1822.0,1886.0,1973.0,2052.0,2247.0,2536.0,2639.0,707.0
EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,
ERITREA,315.0,417.0,410.0,188.0,57.0,70.0,113.0,101.0,80.0,87.0,83.0,78.0,81.0,70.0,79.0,84.0,107.0,129.0,141.0,119.0,114.0,142.0,,,,
ESTONIA,2111.0,2444.0,2618.0,2909.0,3181.0,3310.0,3230.0,3253.0,3378.0,,,,,3828.0,3834.0,4369.0,4907.0,5007.0,5737.0,5804.0,5696.0,5942.0,6145.0,6033.0,6103.0,1695.0
ESWATINI,,1337.0,1635.0,986.0,1253.0,1151.0,1312.0,1371.0,1543.0,,1182.0,1200.0,1230.0,1186.0,1344.0,1343.0,1328.0,1278.0,1299.0,1325.0,1256.0,1279.0,1343.0,1277.0,1226.0,345.3
ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,
FIJI,476.0,534.0,547.0,499.0,544.0,434.0,446.0,461.0,451.0,513.0,547.0,,542.0,627.0,605.0,692.0,734.0,741.0,769.0,781.0,869.0,963.0,1027.0,1058.0,969.0,168.0
FINLAND,,,,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,
FRANCE,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0
FRENCH GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,
FRENCH POLYNESIA,186.0,184.0,201.0,211.0,236.0,,,,,,,,243.0,227.0,190.0,179.0,196.0,210.0,214.0,228.0,239.0,241.0,254.0,264.0,300.0,89.4
GABON,203.0,217.0,247.0,274.0,262.0,230.0,236.0,269.0,234.0,351.0,526.0,,,,,,,,,,,,,,,
GAMBIA,,,,,,,,,,459.0,460.0,613.0,487.0,643.0,,,,,,,,,,,,
