url,Citazioni,location
conf/oopsla/dsm2016,12,"Amsterdam, Netherlands"
conf/eci/eci76,28,"Amsterdam, The Netherlands"
conf/icmv/icmv2019,13,"Amsterdam, The Netherlands"
conf/facs2/facs2019,1,"Amsterdam, The Netherlands"
conf/gecco/gecco2013,1204,"Amsterdam, The Netherlands"
conf/fmco/fmco2007,176,"Amsterdam, The Netherlands"
conf/fmco/fmco2006,176,"Amsterdam, The Netherlands"
conf/oopsla/oopsla2016,441,"Amsterdam, The Netherlands"
conf/mmsys/mmve2018,6,"Amsterdam, The Netherlands"
conf/ifip5-5/prove2014,115,"Amsterdam, The Netherlands"
conf/oopsla/onward2016,50,"Amsterdam, The Netherlands"
conf/mmsys/pv2018,19,"Amsterdam, The Netherlands"
conf/bnaic/bnaic2016,16,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-1,3,"Amsterdam, The Netherlands"
conf/pkc/pkc2017-1,109,"Amsterdam, The Netherlands"
conf/sacmat/sacmat2013,129,"Amsterdam, The Netherlands"
conf/iva/iva2009,475,"Amsterdam, The Netherlands"
conf/icfp/icfp97,225,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-7,6,"Amsterdam, The Netherlands"
conf/ecir/gamifir2014,44,"Amsterdam, The Netherlands"
conf/oopsla/fosd2016,55,"Amsterdam, The Netherlands"
conf/oopsla/vmil2016,19,"Amsterdam, The Netherlands"
conf/digitalCities/digitalCities2003,56,"Amsterdam, The Netherlands"
conf/cyphy/cyphy2015,34,"Amsterdam, The Netherlands"
conf/mm/mmhealth2016,15,"Amsterdam, The Netherlands"
conf/colt/colt2001,160,"Amsterdam, The Netherlands"
conf/iwsm/iwsm2009,101,"Amsterdam, The Netherlands"
conf/pkc/pkc2017-2,114,"Amsterdam, The Netherlands"
conf/websci/websci2018,82,"Amsterdam, The Netherlands"
conf/agere/agere2016,31,"Amsterdam, The Netherlands"
conf/oopsla/seps2016,4,"Amsterdam, The Netherlands"
conf/iscsic/iscsic2019,10,"Amsterdam, The Netherlands"
conf/loft/loft2008,14,"Amsterdam, The Netherlands"
conf/iwpse/iwpse2009,166,"Amsterdam, The Netherlands"
conf/fmco/fmco2005,658,"Amsterdam, The Netherlands"
conf/ics/ics1990,676,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-4,2,"Amsterdam, The Netherlands"
conf/etm/etm2010,21,"Amsterdam, The Netherlands"
conf/mm/avec2016,192,"Amsterdam, The Netherlands"
conf/chi/chi1993c,253,"Amsterdam, The Netherlands"
conf/chi/chi1993,1882,"Amsterdam, The Netherlands"
conf/sigir/sigir2007,4921,"Amsterdam, The Netherlands"
conf/issta/issta2018w,21,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-2,3,"Amsterdam, The Netherlands"
conf/esweek/wess2015,31,"Amsterdam, The Netherlands"
conf/evoW/evomusart2017,45,"Amsterdam, The Netherlands"
conf/caise/caise2009,287,"Amsterdam, The Netherlands"
conf/forte/forte2010,136,"Amsterdam, The Netherlands"
conf/grades/grades2019,7,"Amsterdam, The Netherlands"
conf/civr/civr2007,1916,"Amsterdam, The Netherlands"
conf/mhci/mhci2008,788,"Amsterdam, The Netherlands"
conf/mm/mm2016,1979,"Amsterdam, The Netherlands"
conf/acri/acri2004,440,"Amsterdam, The Netherlands"
conf/shell/shell1988,18,"Amsterdam, The Netherlands"
conf/ecoop/icooolps2018,5,"Amsterdam, The Netherlands"
conf/hworkload/hworkload2018,27,"Amsterdam, The Netherlands"
conf/hri/hri2008,973,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-6,5,"Amsterdam, The Netherlands"
conf/ecoop/cop2018,6,"Amsterdam, The Netherlands"
conf/wdag/disc2004,307,"Amsterdam, The Netherlands"
conf/pet/pets2014,159,"Amsterdam, The Netherlands"
conf/mm/ivlmm2016,17,"Amsterdam, The Netherlands"
conf/iccS/iccS2020-5,1,"Amsterdam, The Netherlands"
conf/jurix/jurix2012,3,"Amsterdam, The Netherlands"
conf/fmics/fmics2019,12,"Amsterdam, The Netherlands"
conf/tea/tea2018,3,"Amsterdam, The Netherlands"
conf/icbea/icbeaNL2018,11,"Amsterdam, The Netherlands"
conf/ecir/ecir2014,387,"Amsterdam, The Netherlands"
conf/esweek/wese2015,29,"Amsterdam, The Netherlands"
conf/issta/issta2018,160,"Amsterdam, The Netherlands"
conf/formats/formats2019,10,"Amsterdam, The Netherlands"
conf/mmsys/mmsys2018,205,"Amsterdam, The Netherlands"
conf/ami/ami2011,164,"Amsterdam, The Netherlands"
conf/enter/enter2009,259,"Amsterdam, The Netherlands"
conf/haptics/eurohaptics2010,216,"Amsterdam, The Netherlands"
conf/concur/concur1991,341,"Amsterdam, The Netherlands"
conf/sigopsE/sigopsE1986,13,"Amsterdam, The Netherlands"
conf/ecscw/ecscw1991,477,"Amsterdam, The Netherlands"
conf/profes/profes2006,201,"Amsterdam, The Netherlands"
conf/hipeac/rapido2015,31,"Amsterdam, The Netherlands"
conf/sigmod/aidm2019,21,"Amsterdam, The Netherlands"
conf/mm/altmm2016,7,"Amsterdam, The Netherlands"
conf/conversations/conversations2019,9,"Amsterdam, The Netherlands"
conf/nossdav/nossdav2018,15,"Amsterdam, The Netherlands"
conf/eurosys/papec2014,37,"Amsterdam, The Netherlands"
conf/eurocrypt/eurocrypt87,267,"Amsterdam, The Netherlands"
conf/hbu/hbu2016,34,"Amsterdam, The Netherlands"
conf/refsq/refsq2009,147,"Amsterdam, The Netherlands"
conf/wine/wine2015,74,"Amsterdam, The Netherlands"
conf/dimva/dimva2011,146,"Amsterdam, The Netherlands"
conf/socrob/icsr2011,206,"Amsterdam, The Netherlands"
conf/doceng/doceng2006,205,"Amsterdam, The Netherlands"
conf/nossdav/nossdav2010,118,"Amsterdam, The Netherlands"
conf/law/law1992,87,"Amsterdam, The Netherlands"
conf/persuasive/persuasive2017,54,"Amsterdam, The Netherlands"
conf/hbu/hbu2011,74,"Amsterdam, The Netherlands"
conf/icsoc/icsoc2005,618,"Amsterdam, The Netherlands"
conf/icetc/icetc2019,5,"Amsterdam, The Netherlands"
conf/euroitv/euroitv2007,166,"Amsterdam, The Netherlands"
conf/haptics/eurohaptics2010-1,235,"Amsterdam, The Netherlands"
conf/eurosys/eurosys2014,889,"Amsterdam, The Netherlands"
conf/visual/visual2005,68,"Amsterdam, The Netherlands"
conf/icgi/icgi2002,108,"Amsterdam, The Netherlands"
conf/ro/ro2018,1,"Amsterdam, The Netherlands"
conf/egve/egve2000,60,"Amsterdam, The Netherlands"
conf/hpcn/hpcn2001,144,"Amsterdam, The Netherlands"
conf/eurocrypt/eurocrypt2002,2124,"Amsterdam, The Netherlands"
conf/sigmod/deem2019,5,"Amsterdam, The Netherlands"
conf/ictir/ictir2017,162,"Amsterdam, The Netherlands"
conf/ifipTCS/ifipTCS2012,89,"Amsterdam, The Netherlands"
conf/icail/icail93,202,"Amsterdam, The Netherlands"
conf/pret/pret2009,28,"Amsterdam, The Netherlands"
conf/hipeac/cs2015,21,"Amsterdam, The Netherlands"
conf/pods/pods2019,38,"Amsterdam, The Netherlands"
conf/sigmod/sbd2019,7,"Amsterdam, The Netherlands"
conf/coordination/coordination1999,148,"Amsterdam, The Netherlands"
conf/iccS/iccS2002-3,369,"Amsterdam, The Netherlands"
conf/eurosys/clouddp2014,39,"Amsterdam, The Netherlands"
conf/egc/egc2005,435,"Amsterdam, The Netherlands"
conf/hcc/hcc2012,36,"Amsterdam, The Netherlands"
conf/damon/damon2019,33,"Amsterdam, The Netherlands"
conf/tcc/tcc2007,1809,"Amsterdam, The Netherlands"
conf/coordination/coordination2010,67,"Amsterdam, The Netherlands"
conf/evoW/evocop2017,34,"Amsterdam, The Netherlands"
conf/pepm/pepm97,243,"Amsterdam, The Netherlands"
conf/ida/ida99,234,"Amsterdam, The Netherlands"
conf/hipeac/parma2015,14,"Amsterdam, The Netherlands"
conf/sigmod/hilda2019,3,"Amsterdam, The Netherlands"
conf/imc/imc2019,103,"Amsterdam, The Netherlands"
conf/critis/critis2013,54,"Amsterdam, The Netherlands"
conf/iccS/iccS2002-2,263,"Amsterdam, The Netherlands"
conf/oopsla/rebls2016,5,"Amsterdam, The Netherlands"
conf/dais/dais2010,60,"Amsterdam, The Netherlands"
conf/cie/cie2005,157,"Amsterdam, The Netherlands"
conf/eurosec/eurosec2014,128,"Amsterdam, The Netherlands"
conf/sigmod/sigmod2019,399,"Amsterdam, The Netherlands"
conf/dls/dls2016,62,"Amsterdam, The Netherlands"
conf/raid/raid2012,196,"Amsterdam, The Netherlands"
