url,Citazioni,location
conf/arcs/arcs2011,52,"Como, Italy"
conf/recsys/recsys2017,696,"Como, Italy"
conf/eurogp/eurogp2001,337,"Como, Italy"
conf/acri/acri2018,30,"Como, Italy"
conf/realwsn/realwsn2013,59,"Como, Italy"
conf/sacmat/sacmat2003,569,"Como, Italy"
conf/avi/avi2014,381,"Como, Italy"
conf/recsys/citrec2017,15,"Como, Italy"
conf/euroitv/euroitv2013,97,"Como, Italy"
conf/dimva/dimva2009,159,"Como, Italy"
conf/esocc/esocc2018,15,"Como, Italy"
conf/xpu/xp2007,258,"Como, Italy"
conf/cf/cf2016,212,"Como, Italy"
conf/sum/sum2019,20,"Compiègne, France"
conf/ecsqaru/ecsqaru2015,80,"Compiègne, France"
conf/smps/smps2018,10,"Compiègne, France"
conf/belief/belief2012,104,"Compiègne, France"
conf/ifip7/ifip7-1993,75,"Compiègne, France"
conf/belief/belief2018,14,"Compiègne, France"
conf/dagstuhl/coc2008,114,Complexity of Constraints 2008
conf/dimacs/dimacs15,62,Computational Support for Discrete Mathematics 1992
conf/ac/crypto1997,58,Computer Security and Industrial Cryptograph 1997
conf/micad/micad2007,221,Computer-Aided Diagnosis 2007
conf/micad/micad2008,228,Computer-Aided Diagnosis 2008
conf/micad/micad2009,306,Computer-Aided Diagnosis 2009
conf/micad/micad2010,201,Computer-Aided Diagnosis 2010
conf/micad/micad2011,233,Computer-Aided Diagnosis 2011
conf/micad/micad2012,232,Computer-Aided Diagnosis 2012
conf/micad/micad2013,186,Computer-Aided Diagnosis 2013
conf/micad/micad2014,95,Computer-Aided Diagnosis 2014
conf/micad/micad2015,156,Computer-Aided Diagnosis 2015
conf/micad/micad2016,200,Computer-Aided Diagnosis 2016
conf/micad/micad2017,156,Computer-Aided Diagnosis 2017
conf/micad/micad2018,135,Computer-Aided Diagnosis 2018
conf/micad/micad2019,72,Computer-Aided Diagnosis 2019
conf/dimacs/dimacs1990a,165,Computer-Aided Verification 1990
conf/hm/hm2019,12,"Concepción, Chile"
conf/nspw/nspw2010,93,"Concord, MA, USA"
conf/sigopsE/sigopsE1996,249,"Connemara, Ireland"
conf/dmtcs/dmtcs2001,75,"Constanta, Romania"
conf/dimacs/dimacs57,54,Constraint Programming and Large Scale Discrete Optimization 1998
conf/oberwolfach/ctf1976,88,Constructive Theory of Functions of Several Variables 1976
conf/dimacs/dimacs49,98,Contemporary Trends in Discrete Mathematics 1997
conf/sosp/sosp95,1619,"Cooper Mountain Resort, Colorado, USA"
conf/sbcci/sbcci2007,120,"Copacabana, Rio de Janeiro, Brazil"
conf/asist/asist2016,236,"Copenhagen, Denmark"
conf/pepm/pepm93,269,"Copenhagen, Denmark"
conf/icfp/fhpc2012,14,"Copenhagen, Denmark"
conf/smsociety/smsociety2018,89,"Copenhagen, Denmark"
conf/hci/hci2020-44,1,"Copenhagen, Denmark"
conf/icfp/icfp2012,366,"Copenhagen, Denmark"
conf/jtres/jtres2012,114,"Copenhagen, Denmark"
conf/evoW/evoappl2015,131,"Copenhagen, Denmark"
conf/iiix/iiix2006,120,"Copenhagen, Denmark"
conf/cshi/cshi2013,2,"Copenhagen, Denmark"
conf/iccl2/iccl2013,48,"Copenhagen, Denmark"
conf/huc/ubicomp2010,1564,"Copenhagen, Denmark"
conf/hci/hci2020-12,2,"Copenhagen, Denmark"
conf/hci/hci2020-42,1,"Copenhagen, Denmark"
conf/stm/stm2011,83,"Copenhagen, Denmark"
conf/ecweb/ecweb2005,111,"Copenhagen, Denmark"
conf/persuasive/persuasive2010,356,"Copenhagen, Denmark"
conf/iwpec/iwpec2009,176,"Copenhagen, Denmark"
conf/codes/codes2001,366,"Copenhagen, Denmark"
conf/cmmr/cmmr2009,59,"Copenhagen, Denmark"
conf/hci/hci2020-22,1,"Copenhagen, Denmark"
conf/sigir/sigir92,765,"Copenhagen, Denmark"
conf/socialsec/socialsec2019,1,"Copenhagen, Denmark"
conf/nordichi/nordichi2012,638,"Copenhagen, Denmark"
conf/hci/hci2020-15,1,"Copenhagen, Denmark"
conf/hci/hci2020-8,4,"Copenhagen, Denmark"
conf/hci/hci2020-18,2,"Copenhagen, Denmark"
conf/cmmr/cmmr2008,44,"Copenhagen, Denmark"
conf/cmmr/cmmr2007,75,"Copenhagen, Denmark"
conf/hci/hci2020-2,1,"Copenhagen, Denmark"
conf/ifip13/hwid2013,6,"Copenhagen, Denmark"
conf/hci/hci2020-40,3,"Copenhagen, Denmark"
conf/ifiptm/ifiptm2011,74,"Copenhagen, Denmark"
conf/trustbus/trustbus2005,102,"Copenhagen, Denmark"
conf/hci/hci2020-48,1,"Copenhagen, Denmark"
conf/waoa/waoa2009,114,"Copenhagen, Denmark"
conf/hci/hci2020-11,1,"Copenhagen, Denmark"
conf/egov/egov2005,125,"Copenhagen, Denmark"
conf/ecsa/ecsa2010c,314,"Copenhagen, Denmark"
conf/amr/amr2012,32,"Copenhagen, Denmark"
conf/fct/fct2019,13,"Copenhagen, Denmark"
conf/hci/hci2020-7,1,"Copenhagen, Denmark"
conf/scia/scia2015,99,"Copenhagen, Denmark"
conf/haid/haid2010,84,"Copenhagen, Denmark"
conf/eurocrypt/eurocrypt2014,1327,"Copenhagen, Denmark"
conf/hci/hci2020-5,1,"Copenhagen, Denmark"
conf/perdis/perdis2014,318,"Copenhagen, Denmark"
conf/cost/cost1995,10,"Copenhagen, Denmark"
conf/hci/hci2020-1,2,"Copenhagen, Denmark"
conf/hci/hci2020-39,2,"Copenhagen, Denmark"
conf/hci/hci2020-4,2,"Copenhagen, Denmark"
conf/dexa/dexa2005,367,"Copenhagen, Denmark"
conf/adaEurope/adaEurope1994,23,"Copenhagen, Denmark"
conf/ecsa/ecsa2010,203,"Copenhagen, Denmark"
conf/hci/hci2020-26,2,"Copenhagen, Denmark"
conf/eics/eics2012,249,"Copenhagen, Denmark"
conf/tableaux/tableaux2002,183,"Copenhagen, Denmark"
conf/ifip8-6/ifip8-6-2003,23,"Copenhagen, Denmark"
conf/eurogp/eurogp2015,148,"Copenhagen, Denmark"
conf/hci/hci2020-32,6,"Copenhagen, Denmark"
conf/cav/cav2002,1571,"Copenhagen, Denmark"
conf/hci/hci2020-3,2,"Copenhagen, Denmark"
conf/evoW/evocop2015,67,"Copenhagen, Denmark"
conf/irfc/irfc2014,20,"Copenhagen, Denmark"
conf/hci/hci2020-30,2,"Copenhagen, Denmark"
conf/holomas/holomas2005,107,"Copenhagen, Denmark"
conf/sam/sam2018,14,"Copenhagen, Denmark"
conf/ictir/ictir2013,97,"Copenhagen, Denmark"
conf/icvs/icvs2015,99,"Copenhagen, Denmark"
conf/evoW/evomusart2015,32,"Copenhagen, Denmark"
conf/haskell/haskell2012,137,"Copenhagen, Denmark"
conf/arcs/arcs2019,6,"Copenhagen, Denmark"
conf/hci/hci2020-20,1,"Copenhagen, Denmark"
conf/hci/hci2020-17,1,"Copenhagen, Denmark"
conf/iseud/iseud2013,100,"Copenhagen, Denmark"
conf/icids/icids2015,97,"Copenhagen, Denmark"
conf/ifiptm/ifiptm2019,3,"Copenhagen, Denmark"
conf/pdo/pdo1985,62,"Copenhagen, Denmark"
conf/models/models2018,78,"Copenhagen, Denmark"
conf/hci/hci2020-38,2,"Copenhagen, Denmark"
conf/hci/hci2020-25,1,"Copenhagen, Denmark"
conf/recsys/recsys2019,219,"Copenhagen, Denmark"
conf/rc/rc2012,118,"Copenhagen, Denmark"
conf/miccai/miccai2006-1,5,"Copenhagen, Denmark"
conf/apl/apl90,24,"Copenhagen, Denmark"
conf/ease/ease2019,30,"Copenhagen, Denmark"
conf/fpca/fpca93,381,"Copenhagen, Denmark"
conf/icfp/wgp2012,16,"Copenhagen, Denmark"
conf/cade/cade2002,370,"Copenhagen, Denmark"
conf/ecsa/sisos2016,6,"Copenhagen, Denmark"
conf/erlang/erlang2012,4,"Copenhagen, Denmark"
conf/iclp/iclp2002,232,"Copenhagen, Denmark"
conf/esa/esa2009,357,"Copenhagen, Denmark"
conf/mhci/mhci2015,576,"Copenhagen, Denmark"
conf/hci/hci2020-16,2,"Copenhagen, Denmark"
conf/medinfo/medinfo2013,62,"Copenhagen, Denmark"
conf/fm/fme2002,314,"Copenhagen, Denmark"
conf/hci/hci2020-23,3,"Copenhagen, Denmark"
conf/hci/hci2020-31,1,"Copenhagen, Denmark"
conf/hinc/hinc2014,9,"Copenhagen, Denmark"
conf/ecsa/ecsa2016,66,"Copenhagen, Denmark"
conf/icfp/scheme2012,28,"Copenhagen, Denmark"
conf/dawak/dawak2005,324,"Copenhagen, Denmark"
conf/miccai/miccai2006-2,17,"Copenhagen, Denmark"
conf/eccv/eccv2002w,186,"Copenhagen, Denmark"
conf/simbad/simbad2015,163,"Copenhagen, Denmark"
conf/wea/sea2014,320,"Copenhagen, Denmark"
conf/xpu/xp2020,1,"Copenhagen, Denmark"
conf/ecscw/ecscw1999,327,"Copenhagen, Denmark"
conf/ipco/ipco1995,144,"Copenhagen, Denmark"
conf/caap/caap90,115,"Copenhagen, Denmark"
conf/esop/esop90,228,"Copenhagen, Denmark"
conf/swat/swat2014,143,"Copenhagen, Denmark"
conf/papm/papm2002,164,"Copenhagen, Denmark"
conf/mhci/mhci2015a,285,"Copenhagen, Denmark - Adjunct"
conf/huc/ubicomp2010ap,174,"Copenhagen, Denmark - Adjunct Papers"
conf/recsys/challenge2019,10,"Copenhagen, Denmark - Challenge"
conf/models/models2018c,19,"Copenhagen, Denmark - Companion Proceedings"
conf/icalp/icalp2014-1,402,"Copenhagen, Denmark - Part I"
conf/icalp/icalp2014-2,278,"Copenhagen, Denmark - Part II"
conf/eccv/eccv2002-1,1544,"Copenhagen, Denmark - Volume 1"
conf/eccv/eccv2002-2,767,"Copenhagen, Denmark - Volume 2"
conf/eccv/eccv2002-3,1174,"Copenhagen, Denmark - Volume 3"
conf/eccv/eccv2002-4,1399,"Copenhagen, Denmark - Volume 4"
conf/xpu/xp2020w,2,"Copenhagen, Denmark - Workshops"
conf/fg/fg2011,26,"Copenhagen, Denmark / Ljubljana, Slovenia"
conf/fg/fg2011,11,"Copenhagen, Denmark / Ljubljana, Slovenia"
conf/sigbdp/sigbdp1987,9,"Coral Gables, FL USA"
conf/mtsr/mtsr2007,60,"Corfu Island, Greece"
conf/esa/esa95,306,"Corfu, Greece"
conf/ifip12/aiai2011-1,74,"Corfu, Greece"
conf/petra/petra2015,279,"Corfu, Greece"
conf/petra/petra2020,1,"Corfu, Greece"
conf/petra/petra2018,109,"Corfu, Greece"
conf/ercimdl/ecdl2009,144,"Corfu, Greece"
conf/petra/petra2016,259,"Corfu, Greece"
conf/isola/isola2014-1,144,"Corfu, Greece"
conf/iccvw/iccvw1999,255,"Corfu, Greece"
conf/petra/petra2009,372,"Corfu, Greece"
conf/audio/audio2012,35,"Corfu, Greece"
conf/ifip12/aiai2011-2,71,"Corfu, Greece"
conf/psd/psd2010,125,"Corfu, Greece"
conf/um/um2007,481,"Corfu, Greece"
conf/isola/isola2016-2,212,"Corfu, Greece"
conf/isola/isola2016-1,248,"Corfu, Greece"
conf/scalespace/scalespace1999,527,"Corfu, Greece"
conf/jckbse/jckbse2018,6,"Corfu, Greece"
conf/isola/isola2014-2,235,"Corfu, Greece"
conf/cade/ijcar2004,215,"Cork, County Cork, Ireland"
conf/emnets/emnets2007,594,"Cork, Ireland"
conf/cpaior/cpaior2014,138,"Cork, Ireland"
conf/cp/cp2015,227,"Cork, Ireland"
conf/iccbr/iccbr2014,104,"Cork, Ireland"
conf/nossdav/nossdav2004,313,"Cork, Ireland"
conf/cpaior/cpaior2006,101,"Cork, Ireland"
conf/mike/mike2014,50,"Cork, Ireland"
conf/colognet/colognet2002,55,"Cork, Ireland"
conf/ewsn/ewsn2009,180,"Cork, Ireland"
conf/blogtalk/blogtalk2009,24,"Cork, Ireland / 2009"
conf/wsc/wsc1996,840,"Coronado, CA, USA"
conf/opodis/opodis2014,127,"Cortina d'Ampezzo, Italy"
conf/clima/clima2013,54,"Corunna, Spain"
conf/iwinac/iwinac2017-1,33,"Corunna, Spain"
conf/iwinac/iwinac2017-2,55,"Corunna, Spain"
conf/icml/icml2007,6419,"Corvalis, Oregon, USA"
conf/ilp/ilp2007,105,"Corvallis, Oregon, USA"
conf/jelia/jelia2002,420,"Cosenza, Italy"
conf/si3d/si3d2012,199,"Costa Mesa, CA, USA"
conf/ifip5-5/doceis2017,20,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2019,27,"Costa de Caparica, Portugal"
conf/criwg/criwg2018,8,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2010,109,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2015,62,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2013,142,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2020,1,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2018,19,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2011,134,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2016,57,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2014,85,"Costa de Caparica, Portugal"
conf/ifip5-5/doceis2012,94,"Costa de Caparica, Portugal"
conf/collabtech/collabtech2018,8,"Costa de Caparica, Portugal"
conf/ispw/ispw1985,25,"Coto de Caza, Trabuco Canyon, California, USA"
conf/africom/africomm2015,7,"Cotonou, Benin"
conf/wg/wg2018,31,"Cottbus, Germany"
conf/mates/mates2015,33,"Cottbus, Germany"
conf/apgv/sap2017,41,"Cottbus, Germany"
conf/inap/declare2019,2,"Cottbus, Germany"
conf/gsw/gsw2012,19,"Courchevel, France"
conf/gsw/gsw2011,25,"Courchevel, France"
conf/iesa/iesa2010,108,"Coventry, UK"
conf/bncod/bncod2003,57,"Coventry, UK"
conf/mmsec/mmsec2012,169,"Coventry, UK"
conf/sigdoc/sigdoc2005,146,"Coventry, UK"
conf/scube/scube2014,5,"Coventry, UK"
conf/cscwd/cscwd2005,97,"Coventry, UK - Selected Papers"
conf/epia/epia2005,319,"Covilhã, Portugal"
conf/sigcse/sigcse2007,452,"Covington, Kentucky, USA"
conf/fc/fc2008,267,"Cozumel, Mexico"
conf/ceemas/ceemas2001,113,"Cracow, Poland"
conf/ispe/ispe2010,65,"Cracow, Poland"
conf/fqas/iwifsgn2015,101,"Cracow, Poland"
conf/rrnr/rrnr2013,111,"Cracow, Poland"
conf/wdag/disc2005,506,"Cracow, Poland"
conf/fqas/fqas2015,45,"Cracow, Poland"
conf/pppj/pppj2014,170,"Cracow, Poland"
conf/mfcs/mfcs96,112,"Cracow, Poland"
conf/iticse/iticse1999,61,"Cracow, Poland"
conf/ifip7/ifip7-2007,32,"Cracow, Poland"
conf/compimage/compimage2018,6,"Cracow, Poland"
conf/iccci/iccci2013,124,"Craiova, Romania"
conf/bci/bci2015,55,"Craiova, Romania"
conf/wims/wims2012,145,"Craiova, Romania"
conf/idc/idc2007,37,"Craiova, Romania"
conf/pvm/pvm1997,144,"Crakow, Poland"
conf/esws/eswc2016s,110,"Crete, Greece"
conf/sec/sec2012,321,"Crete, Greece"
conf/sar/sar2002,16,"Crete, Greece"
conf/petra/petra2011,233,"Crete, Greece"
conf/caise/caise96,155,"Crete, Greece"
conf/ectel/ectel2007,194,"Crete, Greece"
conf/ectel/ectel2006,306,"Crete, Greece"
conf/coins/coins2019,25,"Crete, Greece"
conf/numta/numta2019,28,"Crotone, Italy - Part I"
conf/numta/numta2019-2,16,"Crotone, Italy - Part II"
conf/dagstuhl/crowd2015,14,Crowdsourcing and Human-Centered Experiments 2015
conf/sigsmall/sigsmall90,29,"Crystal City, VA, USA"
conf/amta/amta2000,87,"Cuernavaca, Mexico"
conf/clihc/clihc2005,180,"Cuernavaca, Mexico"
conf/cshi/cshi2015,2,"Curitiba, Brazil"
conf/wbma/wbma2016,9,"Curitiba, Brazil"
conf/sbia/sbia2012,82,"Curitiba, Brazil"
conf/sbqs/sbqs2018,12,"Curitiba, Brazil"
conf/bsdia/bsdia1997,44,"Curitiba, Brazil"
conf/grec/grec2007,111,"Curitiba, Brazil"
conf/sbia/sbia96,24,"Curitiba, Brazil"
conf/ispe/ispe2016,10,"Curitiba, Parana, Brazil"
conf/wmp/wmc2002,285,"Curtea de Arges, Romania"
conf/membrane/membrane2009,120,"Curtea de Arges, Romania"
conf/simbig/simbig2016s,12,"Cusco, Peru"
conf/pkaw/pkaw2019,2,"Cuvu, Fiji"
conf/pricai/pricai2019-1,19,"Cuvu, Yanuca Island, Fiji - Part I"
conf/pricai/pricai2019-2,10,"Cuvu, Yanuca Island, Fiji - Part II"
conf/pricai/pricai2019-3,11,"Cuvu, Yanuca Island, Fiji - Part III"
conf/ica3pp/ica3pp2008,110,Cyprus
conf/ppam/ppam2003,309,"Czestochowa, Poland"
conf/icwe/icwe2018,53,"Cáceres, Spain"
conf/icwe/icwe2018w,15,"Cáceres, Spain - Workshops"
conf/pts/ictss2018,13,"Cádiz, Spain"
conf/mtsr/mtsr2012,36,"Cádiz, Spain"
conf/ola/ola2020,3,"Cádiz, Spain"
conf/ipmu/ipmu2018-1,59,"Cádiz, Spain - Volume 1"
conf/ipmu/ipmu2018-2,34,"Cádiz, Spain - Volume 2"
conf/ipmu/ipmu2018-3,28,"Cádiz, Spain - Volume 3"
conf/clihc/clihc2015,7,"Córdoba, Argentina"
conf/hcitoch/hcitoch2011,6,"Córdoba, Argentina"
conf/ccgidis/ccgidis2011,4,"Córdoba, Spain"
conf/dimacs/dimacs27,220,DNA Based Computers 1995
conf/dimacs/dimacs44,162,DNA Based Computers 1996
conf/dimacs/dimacs48,134,DNA Based Computers 1997
conf/dimacs/dimacs54,184,DNA Based Computers 1999
conf/icmlsc/icmlsc2019,20,"Da Lat, Vietnam"
conf/iukm/iukm2016,68,"Da Nang, Vietnam"
conf/iniscom/iniscom2018,6,"Da Nang, Vietnam"
conf/aciids/aciids2016-2,80,"Da Nang, Vietnam"
conf/aciids/aciids2016-1,142,"Da Nang, Vietnam"
conf/iconip/iconip2013-3,88,"Daegu, Korea"
conf/pricai/pricai2010,147,"Daegu, Korea"
conf/aciids/aciids2011-1,115,"Daegu, Korea"
conf/icess/icess2007,147,"Daegu, Korea"
conf/iconip/iconip2013-1,125,"Daegu, Korea"
conf/aciids/aciids2011-2,171,"Daegu, Korea"
conf/aciids/aciids2011p,54,"Daegu, Korea"
conf/iconip/iconip2013-2,171,"Daegu, Korea"
conf/pkaw/pkaw2010,70,"Daegue, Korea"
conf/ucma/ucma2011-2,102,"Daejeon, Korea"
conf/accv/accv2012-w2,109,"Daejeon, Korea"
conf/accv/accv2012-1,387,"Daejeon, Korea"
conf/ucma/ucma2011-1,24,"Daejeon, Korea"
conf/haid/haid2013,47,"Daejeon, Korea"
conf/accv/accv2012-4,155,"Daejeon, Korea"
conf/ichit/ichit2012-1,78,"Daejeon, Korea"
conf/accv/accv2012-3,229,"Daejeon, Korea"
conf/ichit/ichit2011,81,"Daejeon, Korea"
conf/accv/accv2012-2,242,"Daejeon, Korea"
conf/sucoms/sucoms2010,112,"Daejeon, Korea"
conf/rita/rita2017,15,"Daejeon, Korea"
conf/ichit/ichit2011-2,100,"Daejeon, Korea"
conf/ichit/ichit2009,104,"Daejeon, Korea"
conf/dars/dars2014,62,"Daejeon, Korea"
conf/ichit/ichit2012-2,69,"Daejeon, Korea"
conf/ict-eurasia/ict-eurasia2015,38,"Daejeon, Korea"
conf/accv/accv2012-w1,163,"Daejeon, Korea"
conf/mmm/mmm2020-2,26,"Daejeon, South Korea"
conf/mmm/mmm2020-1,4,"Daejeon, South Korea"
conf/tabletop/iss2019,18,"Daejeon, South Korea"
conf/icwe/icwe2019,22,"Daejeon, South Korea"
conf/ifip12/ai2015,11,"Daejeon, South Korea"
conf/cloudcomp/cloudcomp2015,18,"Daejeon, South Korea"
conf/ideal/ideal2008,186,"Daejeon, South Korea"
conf/vlsi/vlsisoc2015s,5,"Daejeon, South Korea - Selected Papers"
conf/dagstuhl/vsys1990,28,Dagstuhl
conf/ppswr/ppswr2005,53,"Dagstuhl Castle, Germany"
conf/ifm/ifm2000,175,"Dagstuhl Castle, Germany"
conf/ekaw/ekaw1999,155,"Dagstuhl Castle, Germany"
conf/ebiss/ebiss2013,8,"Dagstuhl Castle/Wadern, Germany"
conf/dagstuhl/ea2000,84,"Dagstuhl, Germany"
conf/inex/inex2008,102,"Dagstuhl, Germany"
conf/eurongi/eurongi2004,79,"Dagstuhl, Germany"
conf/tfcv/tfcv1996,63,"Dagstuhl, Germany"
conf/inex/inex2007,105,"Dagstuhl, Germany"
conf/gm/gm1999,18,"Dagstuhl, Germany"
conf/gm/gm1996,24,"Dagstuhl, Germany"
conf/inex/inex2006,158,"Dagstuhl, Germany"
conf/cco/cco2001,117,"Dagstuhl, Germany"
conf/aii/aii92,55,"Dagstuhl, Germany"
conf/dagstuhl/automata2001,107,"Dagstuhl, Germany"
conf/tfcv/tfcv1998,33,"Dagstuhl, Germany"
conf/tfcv/tfcv1994,167,"Dagstuhl, Germany"
conf/dagstuhl/svis2001,244,"Dagstuhl, Germany"
conf/sdb/sdb2001,29,"Dagstuhl, Germany"
conf/inex/inex2004,292,"Dagstuhl, Germany"
conf/inex/inex2005,154,"Dagstuhl, Germany"
conf/dagstuhl/robagents2001,82,"Dagstuhl, Germany"
conf/tfcv/tfcv2011,92,"Dagstuhl, Germany"
conf/fmldo/fmldoLNCS99,23,"Dagstuhl, Germany"
conf/tfcv/tfcv2002,79,"Dagstuhl, Germany"
conf/jelia/jelia98,92,"Dagstuhl, Germany"
conf/dagstuhl/ptcs2001,40,"Dagstuhl, Germany"
conf/fmldo/fmldo2000,29,"Dagstuhl, Germany"
conf/intersol/intersol2017,12,"Dakar, Senegal"
conf/africacrypt/africacrypt2011,229,"Dakar, Senegal"
conf/africacrypt/africacrypt2017,36,"Dakar, Senegal"
conf/lpar/lpar2010d,501,"Dakar, Senegal"
conf/qshine/qshine2017,6,"Dalian, China"
conf/isnn/isnn2013-2,71,"Dalian, China"
conf/waim/waim2004,197,"Dalian, China"
conf/cwmt/cwmt2017,4,"Dalian, China"
conf/iscide/iscide2017,28,"Dalian, China"
conf/isnn/isnn2004-1,402,"Dalian, China"
conf/csps/csps2018-2,3,"Dalian, China"
conf/ksem/ksem2013,74,"Dalian, China"
conf/isnn/isnn2013-1,89,"Dalian, China"
conf/csps/csps2018-1,2,"Dalian, China"
conf/aaim/aaim2013,53,"Dalian, China"
conf/ica3pp/ica3pp2014-2,59,"Dalian, China"
conf/ica3pp/ica3pp2014-1,109,"Dalian, China"
conf/cgga/cgga2010,24,"Dalian, China"
conf/cocoon/cocoon2008,185,"Dalian, China"
conf/isnn/isnn2004-2,322,"Dalian, China"
conf/npc/npc2007,122,"Dalian, China"
conf/csps/csps2018-3,10,"Dalian, China"
conf/greenets/greenets2019,1,"Dalian, China"
conf/nlpcc/nlpcc2017,79,"Dalian, China"
conf/adma/adma2019,13,"Dalian, China"
conf/ccs/ccs2017,1932,"Dallas, TX, USA"
conf/icccnt/icccnt2016,35,"Dallas, TX, USA"
conf/ccs/mist2017,14,"Dallas, TX, USA"
conf/sc/isav2018,9,"Dallas, TX, USA"
conf/safeconfig/safeconfig2017,8,"Dallas, TX, USA"
conf/ccs/mtd2017,41,"Dallas, TX, USA"
conf/ccs/cpsspc2017,37,"Dallas, TX, USA"
conf/ccs/mps2017,2,"Dallas, TX, USA"
conf/iwisc/iwisc2018,8,"Dallas, TX, USA"
conf/ecrime/ecrime2010,104,"Dallas, TX, USA"
conf/ccs/ccsw2017,59,"Dallas, TX, USA"
conf/isbra/isbra2012,41,"Dallas, TX, USA"
conf/wpes/wpes2017,34,"Dallas, TX, USA"
conf/mir/icmr2013,525,"Dallas, TX, USA"
conf/ccs/plas2017,39,"Dallas, TX, USA"
conf/cocoon/cocoon2011,80,"Dallas, TX, USA"
conf/securecomm/securecomm2015,110,"Dallas, TX, USA"
conf/aaim/aaim2018,8,"Dallas, TX, USA"
conf/ccs/iotsp2017,68,"Dallas, TX, USA"
conf/ccs/ashes2017,7,"Dallas, TX, USA"
conf/ccs/feast2017,23,"Dallas, TX, USA"
conf/ccs/aisec2017,214,"Dallas, TX, USA"
conf/apl/apl1987,53,"Dallas, TX, USA"
conf/padl/padl2004,127,"Dallas, TX, USA"
conf/sc/waccpd2018,4,"Dallas, TX, USA"
conf/sigcse/sigcse2011,981,"Dallas, TX, USA"
conf/gis/gis2014,559,"Dallas, TX, USA"
conf/gis/mobigis2014,31,"Dallas, TX, USA"
conf/wasa/wasa2008,218,"Dallas, TX, USA"
conf/bnt/bnt1997,45,"Dallas, TX, USA"
conf/dasfaa/dasfaa2016-1,133,"Dallas, TX, USA - Volume 1"
conf/dasfaa/dasfaa2016-2,101,"Dallas, TX, USA - Volume 2"
conf/dasfaa/dasfaa2016w,41,"Dallas, TY, USA"
conf/pods/pods2000,736,"Dallas, Texas"
conf/mobicom/mobicom1998,1563,"Dallas, Texas, USA"
conf/gis/geocrowd2014,35,"Dallas, Texas, USA"
conf/dac/dac93,2863,"Dallas, Texas, USA"
conf/iccal/iccal1989,103,"Dallas, Texas, USA"
conf/wowmom/wowmom1998,107,"Dallas, Texas, USA"
conf/siggraph/siggraph1981,308,"Dallas, Texas, USA"
conf/siggraph/siggraph1986,830,"Dallas, Texas, USA"
conf/afips/ncc77,282,"Dallas, Texas, USA"
conf/stoc/stoc1998,4079,"Dallas, Texas, USA"
conf/siggraph/siggraph1990,1129,"Dallas, Texas, USA"
conf/dac/dac1972,283,"Dallas, Texas, USA"
conf/mmsec/mmsec2007,558,"Dallas, Texas, USA"
conf/sigmod/sigmod2000,2036,"Dallas, Texas, USA"
conf/sigir/sigir79,32,"Dallas, Texas, USA"
conf/isw/isc2013,72,"Dallas, Texas, USA"
conf/gis/bigspatial2014,31,"Dallas, Texas, USA"
conf/sss/sss2006,223,"Dallas, Texas, USA"
conf/webdb/webdbs2000,237,"Dallas, Texas, USA (Selected Papers)"
conf/gis/iwgs2014,53,"Dallas, Texas, USA - Workshop on GeoStreaming"
conf/gir/gir2014,43,"Dallas/Fort Worth, TX, USA"
conf/gis/healthgis2014,31,"Dallas/Fort Worth, TX, USA"
conf/gis/cts2014,44,"Dallas/Fort Worth, TX, USA"
conf/gis/mapinteract2014,13,"Dallas/Fort Worth, Texas, USA"
conf/gis/isa2014,22,"Dallas/Fort Worth, Texas, USA"
conf/gis/phd2014,8,"Dallas/Fort Worth, Texas, USA"
conf/gis/lbsn2014,25,"Dallas/Fort Worth, Texas, USA"
conf/gis/geopriv2014,11,"Dallas/Forth Worth, TX, USA"
conf/islped/islped1995,1106,"Dana Point, California, USA"
conf/soict/soict2018,43,"Danang City, Vietnam"
conf/icuimc/imcom2016,132,"Danang, Vietnam"
conf/soict/soict2013,79,"Danang, Vietnam"
conf/birthday/mundici2006,37,"Daniele Mundici, 2006"
conf/ict4d/ict4d2019-2,16,"Dar es Salaam, Tanzania"
conf/ict4d/ict4d2019-1,18,"Dar es Salaam, Tanzania"
conf/vis/vis91,12,Darmstadt
conf/ir/ir1991,9,Darmstadt
conf/btw/btw87,71,Darmstadt
conf/kivs/kivs99,47,Darmstadt
conf/eusai/ami2007,190,"Darmstadt, Germany"
conf/programmier/programmier1980,19,"Darmstadt, Germany"
conf/vrml/web3d2009,182,"Darmstadt, Germany"
conf/tidse/tidse2006,263,"Darmstadt, Germany"
conf/vlsi/vlsisoc2003s,32,"Darmstadt, Germany"
conf/ifiptm/ifiptm2016,34,"Darmstadt, Germany"
conf/iccs/iccs2000,443,"Darmstadt, Germany"
conf/iics/i4cs2017,20,"Darmstadt, Germany"
conf/simpar/simpar2010,316,"Darmstadt, Germany"
conf/debs/debs2019,29,"Darmstadt, Germany"
