url,Citazioni
conf/acisp/acisp2013,109
conf/acisp/acisp2014,150
conf/acisp/acisp2015,115
conf/acisp/acisp2016-1,95
conf/acisp/acisp2016-2,92
conf/acisp/acisp2017-1,65
conf/acisp/acisp2017-2,66
conf/acisp/acisp2018,70
conf/acisp/acisp2019,25
conf/acit2/acit2018,1
conf/acit2/acit2019,2
conf/acity/acity2012-1,131
conf/acity/acity2012-2,173
conf/acity/acity2012-3,97
conf/acivs/acivs2005,217
conf/acivs/acivs2006,318
conf/acivs/acivs2007,258
conf/acivs/acivs2008,469
conf/acivs/acivs2009,259
conf/acivs/acivs2010-1,129
conf/acivs/acivs2010-2,134
conf/acivs/acivs2011,153
conf/acivs/acivs2012,92
conf/acivs/acivs2013,132
conf/acivs/acivs2015,129
conf/acivs/acivs2016,106
conf/acivs/acivs2017,68
conf/acivs/acivs2018,24
conf/acivs/acivs2020,3
conf/acl-iwp/acl-iwp2003,126
conf/acl-semitic/acl-semitic2002,151
conf/acl-sighan/acl-sighan2003,524
conf/acl/acl1979,69
conf/acl/acl1980,92
conf/acl/acl1981,128
conf/acl/acl1982,69
conf/acl/acl1983,310
conf/acl/acl1986,252
conf/acl/acl1987,285
conf/acl/acl1988,311
conf/acl/acl1989,241
conf/acl/acl1999,1467
conf/acl/acl2000,953
conf/acl/acl2001,1046
conf/acl/acl2002,3099
conf/acl/acl2003,2197
conf/acl/acl2003c,151
conf/acl/acl2004,1662
conf/acl/acl2005,2831
conf/acl/acl2006,2110
conf/acl/acl2013la,17
conf/acl/acl85,320
conf/acl/acl90,348
conf/acl/acl91,427
conf/acl/acl92,283
conf/acl/acl93,719
conf/acl/acl94,1758
conf/acl/acl95,834
conf/acl/acl96,583
conf/acl/acl97,889
conf/acl/acl98,813
conf/acl/bio2002,136
conf/acl/ner2003,105
conf/acl/stst2002,37
conf/acl2/acl22006,97
conf/acling/acling2017,138
conf/acling/acling2018,65
conf/acm/acm1973,217
conf/acm/acm1974-1,163
conf/acm/acm1974-2,140
conf/acm/acm1975,123
conf/acm/acm1976,243
conf/acm/acm1977,241
conf/acm/acm1979,54
conf/acm/acm1980,75
conf/acm/acm1981,105
conf/acm/acm1983,25
conf/acm/acm1984,68
conf/acm/acm1991,77
conf/acm/acm1997,1
conf/acm/acm85,92
conf/acm/csc1978-1,148
conf/acm/csc1978-2,76
conf/acm/csc1985,54
conf/acm/csc1986,71
conf/acm/csc1987,70
conf/acm/csc1988,169
conf/acm/csc89,87
conf/acm/csc90,160
conf/acm/csc92,93
conf/acm/csc93,164
conf/acm/csc94,129
conf/acm/csc95,54
conf/acm/csc96,34
conf/acm/tur-c2017,35
conf/acm/turing2012,9
conf/acmiccc/acmiccc2011,14
conf/acmiccc/acmiccc2013,59
conf/acmicn/icn2011,675
conf/acmicn/icn2012,638
conf/acmicn/icn2013,403
conf/acmicn/icn2014,567
conf/acmicn/icn2015,309
conf/acmicn/icn2016,205
conf/acmicn/icn2017,134
conf/acmicn/icn2018,50
conf/acmicn/icn2019,26
conf/acmicn/icn2020,3
conf/acmidc/idc2003,175
conf/acmidc/idc2004,379
conf/acmidc/idc2005,437
conf/acmidc/idc2006,340
conf/acmidc/idc2007,231
conf/acmidc/idc2008,434
conf/acmidc/idc2009,542
conf/acmidc/idc2010,498
conf/acmidc/idc2011,360
conf/acmidc/idc2012,385
conf/acmidc/idc2013,913
conf/acmidc/idc2014,444
conf/acmidc/idc2015,708
conf/acmidc/idc2016,461
conf/acmidc/idc2017,494
conf/acmidc/idc2018,300
conf/acmidc/idc2019,148
conf/acmidc/idc2020,10
conf/acmidc/idc2020ea,3
conf/acml/acml2009,157
conf/acmmpc/acmmpc2000,51
conf/acmpt/acmpt2017,32
conf/acns/acns2003,278
conf/acns/acns2004,621
conf/acns/acns2005,749
conf/acns/acns2006,330
conf/acns/acns2007,648
conf/acns/acns2008,542
conf/acns/acns2009,486
conf/acns/acns2010,279
conf/acns/acns2011,356
conf/acns/acns2012,403
conf/acns/acns2013,413
conf/acns/acns2014,229
conf/acns/acns2015,197
conf/acns/acns2016,212
conf/acns/acns2017,123
conf/acns/acns2018,93
conf/acns/acns2019,49
conf/acns/acns2019w,5
conf/acns/acns2020-2,1
conf/acom/ac2004,58
conf/acom/ac2006,32
conf/acpc/acpc1991,47
conf/acpc/acpc1993,36
conf/acpc/acpc1996,27
conf/acpc/acpc1999,109
conf/acpr/acpr2019-1,5
conf/acpr/acpr2019-2,5
conf/acpr/acpr2019w,1
conf/acri/acri1996,10
conf/acri/acri2002,222
conf/acri/acri2004,440
conf/acri/acri2006,326
conf/acri/acri2008,172
conf/acri/acri2010,141
conf/acri/acri2012,182
conf/acri/acri2014,128
conf/acri/acri2016,63
conf/acri/acri2018,30
conf/acrit/acrit2019,4
conf/acs/acs1983,34
conf/acsac/acsac2010,1165
conf/acsac/acsac2011,882
conf/acsac/acsac2012,826
conf/acsac/acsac2013,521
conf/acsac/acsac2014,618
conf/acsac/acsac2015,377
conf/acsac/acsac2017,156
conf/acsac/acsac2018,111
conf/acsac/acsac2019,31
conf/acsac/pprew2014,67
conf/acsac/pprew2015,38
conf/acsac/ssprew2016,12
conf/acsac/ssprew2018,2
conf/acsc/acsw2016,181
conf/acse/acse1996,42
conf/acse/acse1997,49
conf/acse/acse1998,80
conf/acse/acse2000,155
conf/acss/acss2014-1,12
conf/acss/acss2014-2,12
conf/acss/acss2015-1,21
conf/acss/acss2015-2,21
conf/acss/acss2016-1,8
conf/acss/acss2016-2,13
conf/acss/acss2018-1,3
conf/acss/acss2018-2,8
conf/acss/acss2019-1,1
conf/acss/acss2019-2,3
conf/acss/acss2020-2,1
conf/acsw/acsw2017,133
conf/acsw/acsw2018,65
conf/acsw/acsw2019,47
conf/acsw/acsw2020,8
conf/acwr/acwr2011,131
conf/adaEurope/ada1983,2
conf/adaEurope/adaEurope1992,23
conf/adaEurope/adaEurope1993,19
conf/adaEurope/adaEurope1994,23
conf/adaEurope/adaEurope1997,25
conf/adaEurope/adaEurope1999,56
conf/adaEurope/adaEurope2000,54
conf/adaEurope/adaEurope2001,85
conf/adaEurope/adaEurope2002,77
conf/adaEurope/adaEurope2003,76
conf/adaEurope/adaEurope2004,91
conf/adaEurope/adaEurope2005,61
conf/adaEurope/adaEurope2006,74
conf/adaEurope/adaEurope2007,68
conf/adaEurope/adaEurope2008,44
conf/adaEurope/adaEurope2009,94
conf/adaEurope/adaEurope2010,42
conf/adaEurope/adaEurope2011,65
conf/adaEurope/adaEurope2012,31
conf/adaEurope/adaEurope2013,27
conf/adaEurope/adaEurope2014,26
conf/adaEurope/adaEurope2015,43
conf/adaEurope/adaEurope2016,25
conf/adaEurope/adaEurope2017,20
conf/adaEurope/adaEurope2018,6
conf/adb/adb94,117
conf/adbis/adbis2000,83
conf/adbis/adbis2001,128
conf/adbis/adbis2002,183
conf/adbis/adbis2003,180
conf/adbis/adbis2004,183
conf/adbis/adbis2005,92
conf/adbis/adbis2006,148
conf/adbis/adbis2007,98
conf/adbis/adbis2008,47
conf/adbis/adbis2009,59
conf/adbis/adbis2009w,50
conf/adbis/adbis2010,99
conf/adbis/adbis2011,105
conf/adbis/adbis2012,91
conf/adbis/adbis2012-2,39
conf/adbis/adbis2012w,47
conf/adbis/adbis2013,66
conf/adbis/adbis2013-2,62
conf/adbis/adbis2014,58
conf/adbis/adbis2014-2,41
conf/adbis/adbis2015,73
conf/adbis/adbis2015w,86
conf/adbis/adbis2016,51
conf/adbis/adbis2016w,15
conf/adbis/adbis2017,41
conf/adbis/adbis2017w,28
conf/adbis/adbis2018,17
conf/adbis/adbis2018w,22
conf/adbis/adbis2019,11
conf/adbis/adbis2019w,26
conf/adbis/adbis2020shor,1
conf/adbis/adbis95,26
conf/adbis/adbis99,60
conf/adbt/adbt77,537
conf/adc/adc2014,59
conf/adc/adc2015,40
conf/adc/adc2016,55
conf/adc/adc2017,37
conf/adc/adc2018,25
